Name,Market Cap in USD Billions,EUR,GBP,INR
JPMorgan Chase,551.03,512.46,440.82,45707.94
Bank of America,288.96,268.73,231.17,23969.23
Industrial and Commercial Bank of China,249.28,231.83,199.42,20677.78
Wells Fargo,208.41,193.82,166.73,17287.61
Agricultural Bank of China,207.79,193.24,166.23,17236.18
Bank of China,171.35,159.36,137.08,14213.48
China Construction Bank,166.19,154.56,132.95,13785.46
HSBC,161.05,149.78,128.84,13359.1
Morgan Stanley,155.58,144.69,124.46,12905.36
HDFC Bank,153.01,142.3,122.41,12692.18
